Command_,Subtype_,Label_,Var1,Var2,Var3,AllRespondents,Democrat,Republican,Independent,NoneDK,@18thru24,@25thru34,@35thru44,@45thru54,@55ormore,DK,Male,Female,DK_A,NewEngland,MidAtlantic,EastNorthCentral,WestNorthCentral,SouthAtlantic,EastSouthCentral,WestSouthCentral,Mountain,Pacific,DK_B,Nocollege,Somecollege,Collegeormore,DK_C,WhiteOnly,BlackOnly,Hispanic,Others,DK_D,Lessthan$25000,@$25000$49999,@$50000$74999,@$75000$99999,@$100000$149999,@$150000$249999,@$250000ormore,NoAnswer,Singlenevermarried,Livingwithpartner,Married,Widowed,Divorcedorseparated,Employedfulltime,Employedparttime,SelfEmployedfulltime,SelfEmployedparttime,Retired,Studentfulltime,Studentparttime,Military,Fulltimeparenthomemaker,Notcurrentlyemployed,Prefernottoanswer,Selfemployed,Unemployedbutlookingforajob,UnemployedandnotlookingforajobLongtermsickordisabled,StudentPupil,Ownahouse,Ownacondocoop,Rent,Livewithparentsrelatives,Other,Prefernottoanswer_A
CTables,Custom Table,Table 1,OmniDateRange,Data Collected 04/14/2021 - 04/15/2021,Column N %,100,100,100,100,100,100,100,100,100,100,0,100,100,0,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,100,0,0,100,100,0,100,100,100,100,100,100,100,100,100,100,100
CTables,Custom Table,Table 1,OmniDateRange,Total,Unweighted Count,1005,441,378,111,75,89,148,178,201,389,0,490,515,0,43,150,149,69,223,60,99,77,135,0,197,337,471,0,790,73,69,60,13,130,250,218,149,137,65,16,40,262,77,490,60,116,397,95,0,0,247,0,0,1,56,0,12,66,64,43,24,596,50,258,65,27,9
CTables,Custom Table,Table 1,Simplified President Biden Approval,Total approve,Column N %,54.3470183495317,87.5724539947827,21.036067052679,47.9075407090833,46.4290830735459,60.3848593256968,55.7763062990444,61.3000952369563,46.5656001581063,52.7180828022144,0,51.58504204379,56.8976095438458,0,59.187726707729,65.7705352506242,53.53348066898,58.1659798391655,52.8385018688382,40.4900602331817,51.6764330488093,46.0519235564802,55.4770948090112,0,50.3584525548473,50.8919086161704,62.3561124307431,0,50.0174147007385,77.2959576229181,56.5922699636375,55.3365003493815,30.5950784806313,57.8012768477502,58.2208593560782,51.2105728641525,47.497015921148,53.6176519918152,57.6995785337212,38.0259539984862,54.8006129022131,56.6385972959333,53.4936780843115,50.3987249559968,51.4762981163383,64.8700167494761,54.384330901345,55.4135346393108,0,0,56.6164440981299,0,0,100,49.3490557586153,0,41.4396219580064,46.44313345382,58.4460294218916,42.7902948841741,77.5131815070412,49.0099889989209,71.2883290103238,59.3036919313288,59.4812059067561,61.0716734965493,58.7135986346772
CTables,Custom Table,Table 1,Simplified President Biden Approval,Not Sure,Column N %,8.09539561407522,2.47862032054628,5.38389985201237,16.7818392425552,29.3750706196939,9.11500218980721,10.2840319594406,8.34064907086812,12.628141890426,3.55869281070425,0,7.75273179544929,8.41183399791669,0,5.0265132055126,6.71988536853417,8.57450098092883,5.9522289000281,6.71530237919972,9.22058957868107,17.0349030819156,5.4053428131872,6.43624262890333,0,10.8900089369454,8.52779366763912,4.22369146749303,0,7.02807386287043,7.52230691213549,12.5916739150044,5.10604974020387,20.989829286797,11.1874181542459,6.75443090165516,6.26413847668455,7.97037644955825,7.57869967862563,16.7456189547871,0,7.59458817258196,10.9730203763237,15.9300306104124,4.81742250542566,3.64014357244774,7.53363812951956,8.78298846967161,2.94477712844437,0,0,4.6627087028224,0,0,0,2.15440181123985,0,20.4052302293019,9.81034041597991,15.4009213642358,18.7259944781567,5.2331413846525,6.97363602154912,7.93344368029908,7.94969759692119,15.8273623464327,8.03920698727556,5.39598436376305
CTables,Custom Table,Table 1,Simplified President Biden Approval,Total disapprove,Column N %,37.5575860363931,9.94892568467093,73.5800330953087,35.3106200483614,24.1958463067602,30.500138484496,33.9396617415149,30.3592556921755,40.8062579514677,43.7232243870813,0,40.6622261607607,34.6905564582375,0,35.7857600867584,27.5095793808417,37.8920183500911,35.8817912608064,40.446195751962,50.2893501881372,31.2886638692752,48.5427336303327,38.0866625620854,0,38.7515385082073,40.5802977161904,33.420196101764,0,42.954511436391,15.1817354649465,30.8160561213581,39.5574499104146,48.4150922325717,31.0113049980038,35.0247097422666,42.525288659163,44.5326076292937,38.8036483295592,25.5548025114916,61.9740460015138,37.6047989252049,32.388382327743,30.576291305276,44.7838525385778,44.883558311214,27.5963451210043,36.8326806289834,41.6416882322448,0,0,38.7208471990478,0,0,0,48.4965424301449,0,38.1551478126917,43.7465261302001,26.1530492138726,38.4837106376692,17.2536771083063,44.01637497953,20.7782273093771,32.74661047175,24.6914317468112,30.8891195161752,35.8904170015598
CTables,Custom Table,Table 1,Simplified President Biden Approval,Total,Unweighted Count,1005,441,378,111,75,89,148,178,201,389,0,490,515,0,43,150,149,69,223,60,99,77,135,0,197,337,471,0,790,73,69,60,13,130,250,218,149,137,65,16,40,262,77,490,60,116,397,95,0,0,247,0,0,1,56,0,12,66,64,43,24,596,50,258,65,27,9
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?","Economy, unemployment, and jobs",Column N %,17.2614660698716,16.4761242032034,20.0536792762325,15.1631180699986,13.5266785773424,13.8823741044869,22.858240841712,17.3772768847898,16.3653048750978,16.3945613813406,0,17.9696625213709,16.6074707299104,0,27.2755230108529,20.8807361525227,15.0031365617287,11.9658343063747,13.7771034331246,16.5460970989499,9.41115407545435,26.8450337403051,21.2229523227945,0,14.1184964409666,17.2483134353442,21.2017805542868,0,17.1623334328478,11.1967478105493,20.1441996045781,27.2045586957264,0,16.1387839359898,17.0002455153423,16.956860102361,17.8532054380204,13.2482588122511,27.4384594309335,52.6641307513082,9.11394755101946,16.9423510038225,14.2171691929061,19.4127761722543,19.3911343249189,11.6073971718563,21.170592205325,17.4441818089967,0,0,14.2453535193798,0,0,0,14.2982180575678,0,16.517858831737,10.2969160505722,24.0013858354218,9.24398325534359,10.8295811596639,17.0050157419519,18.6406556465242,20.1354553273696,14.7866583061349,5.18175221992499,5.39598436376305
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",War and foreign conflicts,Column N %,1.04425938237814,.15461471066861,2.02830212090085,1.63851834637836,0,.566984941063219,2.50971802005552,2.47350246673407,.448307841847507,.188988371155295,0,1.57933429619424,.550135895279202,0,0,.990086098803989,2.96164652187073,1.27362594255519,.349875184655132,0,0,0,2.08531879467656,0,1.03657571169741,1.78899912493886,.402206817369711,0,1.12155718447737,0,2.04021396371787,0,0,2.43548908340946,1.25904047811312,.731708813438016,0,1.16540602264155,0,0,0,1.53089418605964,1.71235748626679,.455187052460422,3.66344449947606,0,.859108509742988,1.38981990004004,0,0,.76684149974396,0,0,0,0,0,0,3.17315626024414,0,3.58348147333457,0,.754297651310095,0,1.89849049992661,.872452148595642,0,0
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",Immigration,Column N %,13.4433834554314,6.20313728030035,23.7668178485406,11.8908242244705,8.18155645352186,7.05623748433657,9.59540299110104,6.33194301934573,16.0948816655326,19.7887849953518,0,12.5290423822456,14.287746343346,0,6.45948689675733,16.086807612942,12.8174845183252,5.46294013780443,19.264147827851,11.9717584122604,12.6100445848409,9.47512643236814,12.7010788682109,0,15.0370857299718,12.9225860629792,11.9069128792515,0,14.8518655027812,3.06955627771511,17.0235113157545,8.90917474532927,16.728777787139,11.8841762333882,10.4469553872153,18.4076257089272,17.5391491031856,11.2609435648566,5.82189281956704,27.984344078096,11.8840302126025,8.4041497457497,11.7473304403283,16.1658181553443,17.0570620594934,17.4740074273963,11.1892698033452,10.2796496983544,0,0,20.3987558110246,0,0,0,26.0912999556371,0,18.7635561382875,6.72191634261146,8.05793039475844,14.9761232801589,2.22351266949698,15.5743506470747,8.73225423045519,11.748945907575,8.93450771961303,8.6886059456247,23.1586321271318
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",Terrorism and extremism,Column N %,2.37764421497523,3.51842568467621,2.14691324880637,.406730495574926,1.80501543351807,4.45726805199111,1.76922761498825,2.27243562349852,2.58624374403,1.74410669193009,0,3.08669431753613,1.72286055728787,0,0,3.63262151426767,2.57874045071141,2.9600315346274,1.61944491292964,0,.635621836643512,3.28505185554353,4.33310039619921,0,2.64383783278677,1.62431372792158,2.70406865605289,0,2.84371399896418,0,2.63523027609516,2.1638389239568,0,1.91923699363357,2.77805891075762,2.78381441683079,1.45210855297323,3.25267100199732,2.25862308038293,0,.957470048775052,3.59091883545109,0,2.79578946072015,.999683982923973,0,2.7267495794539,2.62808670619781,0,0,3.30513336036415,0,0,0,0,0,0,.9078401704274,1.96747717598864,3.27937712073422,0,2.34338116644031,3.47516258060047,1.70190230689074,.875469771979876,12.0190231900522,0
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",Health care system,Column N %,8.02689940656058,10.7782398416591,6.29701876941181,6.85543614682491,4.30123238768313,8.15109745999188,7.2105399388357,10.4406310850404,8.27971753531041,7.02133714897846,0,6.46082937787545,9.47311182211966,0,8.96511069349851,10.9341055818137,8.63984387661883,11.6511169273507,6.75467741878911,11.8723883327902,7.33350075129103,5.55625584562855,5.39087510004612,0,6.2472658320051,11.2811646825189,7.40396815458917,0,9.31083912089784,7.07109834229722,4.22628445468254,7.28354097075775,4.98182510423086,10.6290986032716,9.86168900321184,6.71493717605513,9.79238011186878,5.80699473532974,2.44961583771665,0,2.49123622241824,8.80117626711573,6.52469588144787,9.08771518002799,4.53670867121855,4.75144447305446,8.20322964138953,9.3627806648267,0,0,7.53390863690578,0,0,0,9.90644949774263,0,0,7.36656559582484,3.56813108840655,13.76962727598,6.53365640688976,7.8783593379652,6.269275158764,9.37760944098528,8.80481373724654,1.20802506113461,0
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?","Public health, disease, and illness",Column N %,11.2133327677825,16.2401207074338,6.65512626467142,11.4763373064427,5.43114468888341,6.21285435084368,8.78028483117204,14.5918347174515,12.5442681547104,11.9388563489397,0,9.33292957864343,12.9498211677763,0,14.4429010563901,7.73596647938937,16.8661106999901,7.3947027952217,9.8606544034612,10.1645527440532,13.0593092781473,9.38502769240875,11.0262284564527,0,10.4554131609193,10.3210140221963,12.9415458884816,0,10.6479293332778,18.8977799851271,8.18543623368866,13.0490463872616,0,11.0361493451638,13.835971352333,7.18659566588908,11.0097286130858,17.3964001572721,8.19376575405583,7.25429730508768,4.82369111633453,8.74992383996933,17.8478173141067,11.0264611571081,4.29512645578528,16.7073119887481,12.6007004409295,4.99932592673102,0,0,9.88219673208835,0,0,0,14.0321839945142,0,6.74740707491799,13.6794749931332,13.7481167046486,14.7687267535191,4.51298414007957,11.6681223342483,15.6666169290474,13.1110789734925,3.8654735697025,5.45112218826097,0
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",Energy issues,Column N %,.941813235156217,1.22247820833278,.392780220076696,1.15009418801174,1.47588654991283,3.60993614986744,.769422743255117,.608390251804632,.886953884588911,.133468485702274,0,1.41572196397954,.50417463987479,0,0,2.49557592137004,.718639973786458,.990692051809975,1.32169717696546,3.21679225481648,0,0,0,0,1.40981952879669,.690123754786386,.57702312475968,0,.985654992399603,1.94888824077663,0,0,4.51074311606974,1.93816266546653,.160422951878801,1.3570124934171,.622989055307365,1.27486841949093,1.15669163724915,0,0,1.83017721656227,1.4242523975305,.335891406941979,0,.700780449465319,.370476357451792,2.22151055488482,0,0,.591425213479972,0,0,0,0,0,0,.878476876228992,2.74260316638722,2.34111878138465,1.72849567079801,.257177473188572,0,.350903177724538,2.20429772135594,7.79267863555476,20.937704277909
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",Morality,Column N %,7.72811856702818,3.02787707349118,9.0013763719405,11.0892596176159,18.465417012682,5.66219983073618,6.62089287701618,6.86837022677176,7.93312120926558,9.41799810322341,0,8.52592174962425,6.99137445807433,0,3.51451128654855,6.10900000676719,6.7083518447769,14.0310927383005,4.92207316151626,8.43218812194474,12.6042434035927,8.79422117339812,7.9933900932855,0,8.35535526605174,8.9154030721669,5.90516393479749,0,6.99943440154461,14.5577093201681,6.76293953054947,5.10256282523738,5.73433581392953,7.51678751025899,8.66673910393883,2.84087158700875,13.244400161707,7.92052180343929,12.8766171359025,5.59347231189431,5.10412577932459,5.93215652248713,9.05228022473432,7.63214445663238,12.5583236647991,9.80348568422169,7.93759171441156,9.93507327594577,0,0,8.45644230519057,0,0,100,7.07259016274904,0,5.47500375371587,9.55533066033753,0,11.0609834354792,0,9.83752596954801,4.02077097392205,3.40888231974494,5.90833615150081,23.4613137144933,0
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",Education,Column N %,2.23270946374286,1.96697621442043,2.61272644999319,1.81310322130818,2.77774215669758,3.39401809615824,3.36018760553984,2.05613327982351,1.45513919530441,1.78544361421344,0,2.84925086123427,1.66335444932703,0,1.52612829244607,2.43037407280415,2.74353732000625,1.91211180184505,1.85444200398209,3.64540621989672,4.29155518586034,.961662257104408,.998586541757584,0,1.7204242890449,1.51353934728492,3.50236481961625,0,2.44183076159324,1.67075095933909,2.41894319752663,1.30954937048532,0,2.12726585327395,1.07957463768615,4.94860894553068,3.30027642160258,.969651477271917,0,0,0,3.42545352281459,.594085489866652,1.73513055379937,3.14472282823565,1.6352732701216,3.23453979685713,4.43357743747774,0,0,1.01762890155877,0,0,0,0,0,3.41497621752057,1.18098650904889,1.95068369765833,.920121769735282,0,2.61979185384608,2.6457690598338,.90056506449691,4.28413694542988,2.88693009000021,0
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",Crime or corruption,Column N %,5.66291575307355,5.36438095406979,6.76109347372798,3.00310726079755,7.90187625175662,4.48811896973904,4.85903485329683,9.36061604139069,5.77272527550113,4.63942261543779,0,5.57308567634621,5.74587077416082,0,0,3.55594526160667,5.17686933320978,5.41898650152179,7.61430373265274,3.27264837510245,8.2089767539848,6.42951150667354,5.86103719549376,0,6.30365401506178,5.42630665039992,5.06900999670079,0,6.29912197872046,2.53968312202852,1.62249156117803,8.17397609051436,32.3886854490933,3.79199406788809,6.43973126607044,4.78978343812909,7.55686724779257,7.90600688271712,3.87252645221953,0,5.33113210376544,3.67660771574491,5.73809219452717,7.9046936481722,2.61441409797412,4.34223425872566,5.88920976926376,3.87830261313715,0,0,4.9132446861415,0,0,0,7.29915864022462,0,0,8.47799665996912,8.12530789925869,4.95272901566411,4.11189149253762,6.04919625357276,4.72832065158582,4.14464629353814,6.87299665647771,12.5065109822082,0
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",Environment and climate,Column N %,4.76083287865989,7.41355155834507,1.36337898933161,6.42685745598502,2.80261836316785,7.52490538432346,7.03969520704156,4.83919545688891,3.69732939033391,3.14355522983926,0,4.57071942109789,4.93639619170143,0,11.4718976459635,2.40956984805432,5.25789499366335,4.55979894637511,3.32671739341455,2.03099378419644,4.85261609367071,7.90891347285629,5.53613359794276,0,6.79513293741378,2.46842213324582,4.22378766327476,0,5.92637286430409,2.04675675563847,4.51410045249558,0,0,5.86627927992649,5.02345766628624,8.11984230976437,1.59613632600737,1.74388316927484,3.48187569389887,0,1.91377761052452,5.49469227434688,11.0007580539648,2.11425844029436,7.22750049160437,6.04154627188962,4.56060415887466,5.01208113259899,0,0,2.08366028055571,0,0,0,5.03436538123983,0,0,17.4961665100659,6.3594217318862,2.06368376196239,1.65676586394729,3.94670614230052,5.05449847934731,6.65346556470623,5.62892418233689,0,0
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",Inequality and discrimination,Column N %,11.8648131496827,18.8178543676376,3.75245090582368,12.2701378351183,11.4745372889641,19.3678002468756,14.0912219054423,9.68983181578994,9.01158067725936,10.5971867016559,0,10.7680357729775,12.8776497599505,0,11.0806760138715,10.8834590882351,11.0214767112174,14.6779530714088,14.666069084619,4.70924597496778,9.76869055010399,8.15740809536303,14.7835605423925,0,10.5088846541526,11.0148041969376,14.3035335691967,0,8.46038669276376,19.6509154112411,19.8570452808143,11.2705041678743,12.0056158904832,11.9092430685179,10.2575910636246,10.553384211833,9.88546825143235,16.5883001030386,8.19778659790882,3.05963483105512,29.771675059519,13.8168659914061,17.1113202676557,9.28115064807508,6.37469893587137,14.1277197532489,9.00729241271721,13.2286067196714,0,0,14.2986261318307,0,0,0,3.39041157573888,0,6.28002838042094,12.3219156185846,15.9075914322789,5.02085142284786,46.2340066666885,7.80950324027877,16.2727521050445,15.9291783576156,22.4287527372143,8.23050752219815,10.0544724317748
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",Other,Column N %,6.82988601539529,5.45743608224518,8.63863287936038,5.65063071013332,8.27606998514639,5.5907145063476,5.30199857473249,2.57377744468671,5.09526658638535,11.3190312387689,0,7.0117759740604,6.66191682393592,0,6.21261012749886,4.00317598495066,5.68154655899409,10.1814772308229,8.99566557760752,8.04330964958809,5.36981925174894,10.2884912696051,5.56614681684949,0,7.80436962153221,8.1519154499675,4.4549587533079,0,7.82637756877002,5.99124580328846,4.14826483560184,6.96900348348953,0,4.31772173243222,7.66076631227626,9.57422828610702,3.69888404314219,4.42718753582532,10.2517055533338,3.44412072255869,10.1330668945048,5.94546341347296,.827829624620458,7.72396915209379,14.5365428715667,7.46601645226459,3.57562712392504,12.4824274911584,0,0,9.07399727799774,0,0,0,8.48404257560126,0,0,7.06143207864185,1.67918459977679,12.3896439352338,13.55825755529,8.28206184187479,10.2200749114846,3.87504937919838,7.86440175908952,6.10361294948396,0
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",Don't know,Column N %,6.61192564026177,3.35878311351652,6.52970318118245,11.16584512134,13.5802248507237,10.0354904232391,5.23413199581112,10.5160616859837,9.82915996483263,1.88725907346314,0,8.32699610681418,5.02811638725583,0,9.05115497617268,7.8525763764725,3.82472063510083,7.51963601398186,5.67312868843155,16.0946190314337,11.8544682346614,2.91329665874552,2.50159127389839,0,7.5636849795994,6.63309433931191,5.40367518831477,0,5.12258216665798,11.3588679718307,6.42133929331733,8.56424433936728,23.6500168390543,8.48961162737932,5.52975635126551,5.03472684470882,2.44840667387468,7.03890631459356,14.0004400068313,0,18.4758474012118,11.8591694649972,2.20201143204457,4.32901451607572,3.60063711613252,5.34278279900744,8.67500848631278,2.70457606997908,0,0,3.4327856437386,0,0,0,4.39128015898468,0,42.8011696034002,.881825674310005,11.8921662735298,1.62954871862239,8.61084837460838,5.97451034640004,4.27384927339075,6.76382738673557,6.66877859332251,6.46991750106392,40.4532067994214
CTables,Custom Table,Table 1,"SC8 - In your opinion, what is the most important problem facing the US today?",Total,Unweighted Count,1005,441,378,111,75,89,148,178,201,389,0,490,515,0,43,150,149,69,223,60,99,77,135,0,197,337,471,0,790,73,69,60,13,130,250,218,149,137,65,16,40,262,77,490,60,116,397,95,0,0,247,0,0,1,56,0,12,66,64,43,24,596,50,258,65,27,9
